run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,98.81666666666666,3702.0,,3702,3702,115340.0,,115340,115340,8499.179288244224,,8499.179288244224,8499.179288244224,6626.0,,6626.0,6626.0,19258.199999999983,,19258.199999999983,19258.199999999983,32326.400000000045,,32326.400000000045,32326.400000000045,5885.408508844152,,5885.408508844152,5885.408508844152,98.81666666666666,,98.81666666666666,98.81666666666666,5929.0,,5929,5929
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,99.33333333333331,3434.0,,3434,3434,400792.0,,400792,400792,9521.611577181207,,9521.611577181207,9521.611577181207,6427.0,,6427.0,6427.0,20124.950000000004,,20124.950000000004,20124.950000000004,47466.84,,47466.84,47466.84,17674.776768123178,,17674.776768123178,17674.776768123178,99.33333333333331,,99.33333333333331,99.33333333333331,5960.0,,5960,5960
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,99.43333333333334,3294.0,,3294,3294,160725.0,,160725,160725,8496.196781763325,,8496.196781763325,8496.196781763325,6537.0,,6537.0,6537.0,19279.0,,19279.0,19279.0,34647.10000000005,,34647.10000000005,34647.10000000005,6770.315880804701,,6770.315880804701,6770.315880804701,99.43333333333334,,99.43333333333334,99.43333333333334,5966.0,,5966,5966
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,123.01666666666668,3294.0,,3294,3294,193989.0,,193989,193989,8391.636770085353,,8391.636770085353,8391.636770085353,6187.0,,6187.0,6187.0,19535.0,,19535.0,19535.0,36524.59999999999,,36524.59999999999,36524.59999999999,8070.240795149315,,8070.240795149315,8070.240795149315,123.01666666666668,,123.01666666666668,123.01666666666668,7381.0,,7381,7381
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,123.1,3334.0,,3334,3334,214356.0,,214356,214356,8212.13674519361,,8212.13674519361,8212.13674519361,6114.5,,6114.5,6114.5,19235.0,,19235.0,19235.0,36890.699999999895,,36890.699999999895,36890.699999999895,7933.055300053226,,7933.055300053226,7933.055300053226,123.1,,123.1,123.1,7386.0,,7386,7386
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,123.4,3325.0,,3325,3325,116706.0,,116706,116706,8023.294300378174,,8023.294300378174,8023.294300378174,6104.0,,6104.0,6104.0,18797.4,,18797.4,18797.4,32352.340000000004,,32352.340000000004,32352.340000000004,5861.011682985989,,5861.011682985989,5861.011682985989,123.4,,123.4,123.4,7404.0,,7404,7404
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,139.85,3305.5,113.84419177103415,3225,3386,225622.0,68713.80856858395,177034,274210,8849.00607794065,126.45674865738897,8759.587653438208,8938.424502443093,6376.0,18.384776310850235,6363.0,6389.0,20936.25,27.22361107568208,20917.0,20955.5,42337.850000000064,464.0741804926612,42009.70000000011,42666.000000000015,9328.710353552295,2008.7046169607606,7908.341697498616,10749.079009605975,139.85,0.0,139.85,139.85,8391.0,0.0,8391,8391
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,140.26666666666668,3317.0,,3317,3317,122581.0,,122581,122581,8690.132723384031,,8690.132723384031,8690.132723384031,6459.5,,6459.5,6459.5,20512.25,,20512.25,20512.25,39230.20000000003,,39230.20000000003,39230.20000000003,7556.9573474596655,,7556.9573474596655,7556.9573474596655,140.26666666666668,,140.26666666666668,140.26666666666668,8416.0,,8416,8416
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,162.43333333333334,3036.0,,3036,3036,120542.0,,120542,120542,8644.704288939052,,8644.704288939052,8644.704288939052,6442.5,,6442.5,6442.5,21229.25,,21229.25,21229.25,39265.949999999895,,39265.949999999895,39265.949999999895,7249.757935539898,,7249.757935539898,7249.757935539898,162.43333333333334,,162.43333333333334,162.43333333333334,9746.0,,9746,9746
B5,B5 | pods=10 | CPU=100m | RAM=100Mi,162.51666666666668,3258.0,,3258,3258,156939.0,,156939,156939,8771.194236488565,,8771.194236488565,8771.194236488565,6488.0,,6488.0,6488.0,21298.0,,21298.0,21298.0,41187.5,,41187.5,41187.5,7848.954569996841,,7848.954569996841,7848.954569996841,162.51666666666668,,162.51666666666668,162.51666666666668,9751.0,,9751,9751
